Timestamp,D* -0.2 1,D* -0.2 2
0,-1,-1
1,-1,-1
2,-1,-1
3,-1,-1
4,-1,-1
5,-1,-1
6,-1,-1
7,-1,-1
8,-1,-1
9,-1,-1
10,-1,-1
11,-1,-1
12,-1,-1
13,-1,-1
14,-1,-1
15,-1,-1
16,-1,-1
17,-1,-1
18,-1,-1
19,-1,-1
20,-1,-1
21,-1,-1
22,-1,-1
23,-1,-1
24,-1,-1
25,-1,-1
26,-1,-1
27,-1,-1
28,-1,-1
29,-1,-1
30,-1,-1
31,-1,-1
32,-1,-1
33,-1,-1
34,-1,-1
35,-1,-1
36,-1,-1
37,-1,-1
38,-1,-1
39,-1,-1
40,-1,-1
41,-1,-1
42,-1,-1
43,-0.899999976,-1
44,-0.920000017,-1
45,-0.899999976,-0.939999998
46,-0.910000026,-0.930000007
47,-0.910000026,-0.930000007
48,-0.899999976,-0.949999988
49,-0.910000026,-0.920000017
50,-0.930000007,-0.910000026
51,-0.939999998,-0.870000005
52,-0.889999986,-0.879999995
53,-0.899999976,-0.829999983
54,-0.899999976,-0.860000014
55,-0.930000007,-0.899999976
56,-0.899999976,-0.930000007
57,-0.879999995,-0.899999976
58,-0.879999995,-0.930000007
59,-0.889999986,-0.939999998
60,-0.920000017,-0.930000007
61,-0.910000026,-0.910000026
62,-0.889999986,-0.920000017
63,-0.039999999,-0.07
64,-0.02,-0.02
65,-0.029999999,-0.059999999
66,-0.050000001,-0.090000004
67,-0.050000001,-0.07
68,-0.029999999,-0.059999999
69,-0.059999999,-0.07
70,-0.02,-0.029999999
71,-0.01,0
72,-0.02,0.029999999
73,0.039999999,0.02
74,0.039999999,0.01
75,0.029999999,0
76,0.01,-0.029999999
77,0.02,-0.02
78,0,-0.02
79,,0.01
80,,0.039999999
81,,0.01
82,,0.02
83,,0.02
